"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene356",-0.97,2.37,0.44,-1.16,-0.66,1.38,1,1.33,-1.34,-1.25,-0.4,0.75,-0.44,2.88,-1.25,0.62,-0.9,0,-1.26,-0.33,0.63,1.41,-0.83,0.59,-0.63
"gene357",1.01,-0.79,1.65,1.17,0.73,-2.21,-0.21,-1.04,-1.86,0.55,-0.35,-1.11,-0.29,-0.21,-1.13,-0.01,0.27,-0.32,-1.5,-0.44,-0.97,0.51,-0.14,-0.18,-1.01
"gene358",1.54,1.76,-2.71,-0.05,-1.09,0.9,-0.94,0.42,1.16,1.63,-1.33,-0.34,0.27,0.07,0.23,-0.27,1.63,-0.66,0.13,-0.99,-0.09,2.58,0.98,-1.34,-0.16
"gene359",-0.67,0.92,-1.31,-1.17,-0.09,1.12,1.64,0.28,-0.46,-1.89,0.58,1.2,-1.97,-1.95,0.11,0.51,-0.34,-0.02,0.81,-0.99,-0.32,0.65,-0.15,-0.02,0.4
"gene360",0.24,-0.84,0.42,-0.92,1.73,2.14,-0.78,0.56,-2.32,-0.08,-0.84,0.79,-0.18,-0.33,1.23,0.14,-1.77,0.84,-0.72,-1.54,-1.33,-0.23,-0.04,0.12,0.98
"gene361",-0.68,1.04,0.48,0.99,-0.73,-0.26,-1.85,-1.2,0.29,2.11,-0.33,-0.17,0.56,-1.49,-0.06,-1.52,1.05,0.31,0.71,-0.08,0.58,0.25,0.58,1.39,-1.12
"gene362",1,-1.93,0.93,0.05,-0.65,-0.78,-0.29,2.08,-0.53,0.29,-0.35,0.68,-2.11,1.62,0.32,-0.36,-0.67,0.96,1.09,-0.31,-1.06,-0.82,0.7,-1.34,1.13
"gene363",0.2,0.68,-0.01,-0.2,0.89,1.19,-0.87,-0.41,0.52,-0.34,0.41,-0.46,0.43,-1.23,-1.91,-0.11,0.2,0.16,1.29,1.23,-2.07,-0.77,2,-0.45,0.61
"gene364",1.34,0.19,0.76,0.56,-1,-0.92,2.47,1.64,-0.34,-0.64,0.42,-0.33,0.06,1.3,1.16,0.41,1.28,-0.38,0.13,0.42,-0.49,-2.07,0.8,1.48,-0.72
"gene365",-1.07,0.12,-0.02,0.38,0.35,0.82,1,1.42,0.08,-0.12,-0.05,-0.66,0.2,2.41,0.48,-0.25,1.18,2.28,-0.99,-0.13,-0.13,0.34,0.19,-1.34,0.46
"gene366",-0.97,-1.61,0.76,1.57,1.43,-0.52,0.25,0.57,0.81,0.18,-0.26,-0.17,-0.13,-1.57,1.84,0.06,-0.24,-1.37,1.66,-0.22,0.1,1.02,0.61,1.4,-0.35
"gene367",0.43,-0.19,-1.07,0.78,-1.88,0.94,-1.22,0.81,-0.29,1.03,-0.08,0.43,0.54,-0.11,1.39,1.15,-1.44,-0.81,1.1,0.72,-0.21,-2.58,0.42,0.25,0.83
"gene368",0.36,-0.62,-0.23,-1.44,-0.89,0.44,-0.95,0.92,1.81,0.19,-0.28,0.78,-0.33,-0.41,-0.47,-1.15,-0.12,-0.22,1.2,-1.14,0.44,-1.07,-0.38,-0.15,0.07
"gene369",-0.4,-1.98,0.5,1.92,-1.21,2.36,0.45,0.31,0.93,0.26,-1.15,0.39,1.1,1.05,1.02,-0.33,0.68,0.72,-0.27,-1.03,0.87,-0.12,0.33,1.31,-0.09
"gene370",-0.66,0.02,-0.11,-0.25,-1.31,0.76,-1.24,-0.14,0.1,-0.06,0.9,-0.92,0.09,-0.17,-0.42,-0.14,-2.44,-1.12,0.9,-1.62,-0.45,0.52,0.24,-0.15,-1.05
"gene371",-0.73,-0.27,0.4,-1.9,-1.6,-0.83,0.56,-0.62,-2.67,0.37,-0.62,-0.2,0.09,-0.3,0.3,0.79,2.33,-0.2,-0.49,-0.14,-0.39,-0.47,2.5,-1.19,-2.55
"gene372",-1.18,0.54,0.32,-1.26,0.21,-0.43,1.36,0.3,0.55,1.11,1.65,-1.15,-0.55,1.66,1.21,1.63,0.28,0.66,-1.65,-0.83,-0.69,-1.23,-0.93,-0.78,0.91
"gene373",-0.96,0.95,0.7,-0.38,1.45,-0.33,0.56,1.04,-1.49,-0.58,2.41,-0.01,-0.87,-0.52,-0.29,-1.61,0.08,-1.56,1.21,-0.07,-1.15,0.33,1.58,0.5,-0.21
"gene374",-0.85,-0.59,-1.13,-1.9,-0.97,-0.41,0.98,-1.99,-0.09,-0.82,-0.08,-0.29,-0.46,3,0.61,-0.53,-2.5,-0.63,-0.22,-0.86,0.95,-0.4,0.32,-0.61,-0.78
"gene375",-0.45,-0.12,-1.01,-1.77,-0.23,-0.56,-0.84,0.21,-0.98,-0.35,-0.64,-1.29,-0.07,1.15,0.97,-0.25,-0.22,-0.96,-0.36,-0.11,0.62,0.1,1.5,-0.38,-0.61
"gene376",-1.89,0.17,0.7,1.22,0.49,-1.99,-2.16,-0.25,0.92,-0.17,-2.18,-1.25,-0.92,0.04,-0.08,0.02,1.05,-0.9,-0.41,-1.01,-1.87,-0.5,-0.28,-1.13,0.34
"gene377",-0.49,-0.03,0.2,1.89,-0.6,0.26,0,-1.42,0.84,0.51,1.25,-0.01,-0.16,-1.01,-1.34,-1.12,0.71,-0.5,0.4,-1.44,-1.53,0.58,1.54,-0.11,1.06
"gene378",1.25,-0.52,1.38,-1.61,-0.38,0.34,0.81,0.73,-0.44,1.67,-0.72,1.13,-1.62,-0.05,1.51,0.83,-0.68,-0.03,1.22,0.4,2.77,1.1,-1.22,-0.47,-0.48
"gene379",1.07,0.04,-0.52,0.44,1.67,0.22,0.68,0.29,-0.79,-2.42,-0.18,0.28,-0.98,1.24,0.85,-1,-1.35,1.07,-0.22,-0.74,-0.39,-1.58,-1.57,-1.3,-1.76
"gene380",1.2,-0.52,0.32,-0.32,1.32,0.2,-2.57,1.11,-0.73,0.01,-0.7,-0.06,0.26,0.73,-1.15,-0.77,-0.29,-0.08,-0.59,0.71,0.95,-1.52,0.06,1.41,-1.39
"gene381",0.4,1.82,-0.85,1.2,-0.7,0.61,2.11,1.14,-1.21,0.82,-0.64,-0.72,1.09,-0.04,0.11,-0.49,0.11,-0.54,0.3,-2.08,0.32,-0.35,0.98,-1.01,-0.02
"gene382",-0.7,0.65,0.6,0.31,0.52,-0.9,0.03,0.22,1.07,0.32,-0.57,-0.62,-0.01,0.27,0.72,-0.96,2.77,-1.32,-0.78,1.13,-0.08,-0.61,-0.3,0.56,0.2
"gene383",-0.74,-0.46,-1.03,0.03,-0.25,-0.2,-0.57,0.54,-0.76,-0.74,-0.64,-0.55,0.41,0.63,-0.57,-0.58,-0.19,-0.9,-0.71,-0.25,0.68,-1.5,-2.08,0.2,-0.44
"gene384",0.48,-1.73,-0.21,1.73,0.24,1.81,-0.47,-1.14,-0.16,-1.46,-1.56,-0.25,-0.77,0.01,-0.43,-0.03,0.65,0.75,0.64,0.53,0.73,2.31,0.14,0.61,-0.2
"gene385",-0.98,-0.34,0.52,0.49,-0.91,-0.07,-0.83,-0.35,-1.32,-0.81,0.65,-0.5,0.92,-0.91,1.14,-0.21,0.02,0.79,-1.29,1.06,-1.23,-0.62,0.41,1.48,-1.09
"gene386",-1.57,1.43,1.15,0.22,-0.55,0.63,-0.78,0.06,0.25,0.05,-0.92,0.18,-0.28,-0.48,0.15,-1.12,-2.14,-1.66,-2.1,0.77,1.93,-1.01,0.43,-0.45,2.05
"gene387",-1.15,-0.81,1.02,-0.84,1.76,-0.45,-0.68,-1.15,-1.33,-0.22,-0.95,1.74,0.22,2.25,-0.98,1.26,-1.08,-1.77,-0.02,-0.12,-0.25,0.72,-1.92,-1.61,0.26
"gene388",0.18,1.7,0.49,1.02,-0.37,-0.37,0.78,1.41,0.95,-0.7,0.5,-0.09,0.1,0.75,-0.64,-0.09,-0.19,0.42,0.23,0.56,-0.2,-0.51,0.88,1.01,-1.55
"gene389",-0.11,-0.08,1.84,0.4,0.39,-1.48,1.25,-1.7,0.11,1.45,-1.04,1.38,-0.01,-0.07,-0.84,-0.56,0.5,-3.25,-0.97,0.15,-0.36,-0.41,-0.22,-2.02,0.45
"gene390",-0.06,0.61,-0.5,-1.09,0.64,0.41,1.21,-1.46,-1,0.6,-1.02,-1.91,1.05,0.97,0.57,0.92,-0.7,1.08,-0.02,0.77,-0.24,-0.2,1.15,-0.13,0.7
"gene391",1.34,-0.32,0.17,-1.62,1.83,-1.31,-0.65,-0.27,-0.77,0.52,-1.59,-0.11,0.34,1.18,0.47,-0.31,1.05,-0.31,-0.81,0.96,0.12,-2.05,1.86,1.06,-0.21
"gene392",-0.68,-0.31,1.56,-0.74,-2.19,-0.41,0.51,-1.12,0.02,-0.72,0.23,-0.74,0.49,-0.94,-0.76,1.32,-0.82,0.08,-1.54,-0.05,-0.13,0.27,1.8,0.88,0.87
"gene393",-0.59,-2.25,0.7,-1.23,0.47,0.61,-0.41,-0.96,0.95,-1.81,0.59,0.23,-1.86,-0.52,-0.49,1,-0.34,-0.02,-1.2,0.09,-1.95,0.12,0.37,-0.27,0.22
"gene394",1.54,0.12,0.33,0.65,0.8,0.78,-0.1,-0.01,0.35,0.7,0.09,0.5,-1.45,0.51,1.24,-0.59,0.55,0.63,1.08,-0.62,-0.44,-1.71,0.33,-0.44,2.76
"gene395",0.33,0.07,-0.16,1.1,0.18,0.15,-0.61,-1.73,0.22,0.83,-1.7,-0.62,0.63,0.35,-0.32,1.48,-1.08,-1.21,0.8,1.98,-1.79,-1.26,-1.08,-0.14,0.11
"gene396",1.4,0.45,-0.25,0.69,0.73,1.14,-1.17,0.57,0.8,0.31,0.66,-0.61,-0.69,1.27,-1.35,-0.33,-0.64,-1.59,0.56,-0.22,-0.61,0.59,0.64,-0.22,-0.79
"gene397",-1.04,0.26,-0.01,-0.61,0.91,0.67,0.74,-1.13,1.21,2.14,0.95,0.2,-1.32,-1.44,1.32,0.39,1.05,-0.06,-0.27,-0.8,0.2,1.34,0.18,-1.74,-0.5
"gene398",-1.85,-0.37,-0.48,1.81,-0.03,0.77,-1.17,-0.23,0.3,0.56,0.29,0.76,0.67,1.4,-1.51,-1.13,0.32,-3.4,0.4,0.24,1.06,0.23,0.19,0.13,0.37
"gene399",-0.93,-0.1,-0.58,-1.69,-1.71,-1.91,-0.28,0.46,0.3,-0.87,-1.02,2.54,0.3,-0.26,0.79,-0.16,0.97,-2.12,1.52,-2.53,-0.94,-0.79,-1.91,0.33,0.7
"gene400",-0.96,-0.77,0.13,1.19,0.04,1.75,0.87,-0.1,1.37,0.66,-0.77,-1.3,-2.82,0.5,0.71,-0.2,-0.9,-1.1,0.51,0.65,0.15,1.84,-2.37,0.25,2.49
"gene401",0.34,-1.5,1.52,-0.97,-0.48,-1.1,0.24,-0.58,-1.08,-1.92,0.69,0.37,-1.39,-1.22,1.31,0.32,0.58,-1.3,1.99,1.31,-0.55,0.13,1.22,1.28,0.05
"gene402",-0.92,-1.28,-0.24,1.7,0.55,-1.31,1.4,0.69,0.21,-1.88,-1.33,-0.76,1.89,-0.19,-1.09,-1.57,1.28,0.73,-0.02,1.36,0.09,0.32,-1.37,-0.29,-0.53
"gene403",0.82,-0.61,0.13,-0.72,-1.43,0.7,1.6,0.55,0.63,-0.46,-0.66,1.28,-0.3,0.44,1.52,-0.56,-2.05,-1.62,1.23,-0.1,-1.56,-1.6,-0.59,0.62,-0.92
"gene404",0.39,-1.25,-0.55,-1.2,0.56,1.24,1.15,-0.09,0.55,0.52,-1.16,-0.46,0.29,0.27,-0.6,0.01,-0.9,-0.47,0.58,-0.85,1.59,1.26,1.54,-1.42,1.22
"gene405",-0.62,-0.39,-1.33,-0.05,0.79,-0.29,0.6,1.33,0.67,-0.17,1.78,-0.69,0.8,-1.95,-1.58,0.9,1.71,-0.71,0.79,-0.23,2.15,-1.29,0.49,-2.4,0.99
"gene406",-0.79,1.53,-1.63,-0.24,1.85,-1.24,0.32,0.1,-0.06,-0.03,1.32,-0.82,0.72,-0.38,0.17,-0.42,0.71,1.56,-0.41,0.56,0.19,-1.11,-0.11,1.11,0.27
"gene407",2.22,-0.98,-0.84,-0.14,0.7,0.05,0.09,-1.55,0.61,-0.53,1.9,-0.67,0.1,0.49,-0.26,-0.66,0.18,0.52,1.01,0.72,0.33,-1.09,0.63,-0.69,-0.24
"gene408",0.47,0.44,-0.09,-1.56,0.27,0.74,0.78,2.33,0.08,0.92,-0.36,1.28,0.2,-0.32,0.18,1.62,1.5,-1.8,0.58,-1.2,-0.34,-1.73,-0.1,0.64,1.31
"gene409",-0.58,-1.17,0.21,0.78,-0.77,0.09,-0.11,0.4,-0.13,-0.69,0.32,0.07,-2.31,0.26,-2.01,-1.6,-0.92,0.73,-0.29,-0.21,1.05,0.66,-0.23,0.13,-0.15
"gene410",-0.51,-0.24,-0.81,-0.25,-0.74,0.46,0.24,0.74,0.97,1.38,-0.58,0.76,-0.22,-0.61,-0.54,0.59,-0.07,1.73,0.05,-1.2,1,-0.56,-0.16,0.25,0.23
"gene411",-1.45,-0.35,-0.21,0.05,0.19,0.48,0.79,0.33,-1.08,0.24,-0.3,-0.22,-0.07,0.68,0.81,0.57,0.76,-0.25,1.59,-2.17,-0.76,-0.98,-2.02,0.87,-1.12
"gene412",-0.28,-0.99,0.77,-0.45,0.31,-0.34,-0.02,-2.28,-1.34,0.62,-2.5,0.72,0.15,-1.09,0.41,1.39,-0.02,0.14,-0.26,-1.6,0.9,1.16,0.45,1.69,0.23
"gene413",-0.48,0.88,-0.63,1.16,1.05,-0.47,-1.52,0.29,-1.34,-0.22,-1.73,2.36,-2.58,1.01,1.33,0.63,0.79,-0.93,-1.21,-0.21,0.03,-0.36,-2.15,1.21,-0.17
"gene414",-0.22,-0.68,0.93,0.48,0.85,0.19,-1.76,-2.19,-0.44,-2.46,0.39,0.49,-1.03,-0.27,0.23,0.14,-1.81,-0.13,-1.74,-2.42,-0.18,-0.82,1.08,-0.29,-0.23
"gene415",-0.1,-0.45,0.26,1.8,-0.68,-1,0.72,0.92,0.06,0.68,0.17,0.13,1.22,-2.33,-0.61,0.46,1.29,0.4,-1.03,1.32,1.42,0.24,-0.4,-0.54,-0.15
"gene416",-0.62,-2.48,-0.37,-0.21,0.22,0.35,1.15,2.74,-0.02,-1.69,-1.79,-0.26,0.06,0.08,-0.34,-0.35,-1.39,0.95,2.51,-1.5,0.06,-1.19,-0.07,1.12,-0.51
"gene417",-0.6,-0.33,-0.77,-2.61,-0.64,-0.03,-1.25,0.03,-0.27,-0.35,1.59,0.96,0.95,-1.08,-0.41,0.6,0.37,1.82,1.97,1.4,1.02,1.42,0.61,-0.56,1.35
"gene418",0.39,1.19,-0.57,-2.26,-1.98,0.33,-0.89,0.36,0.44,0.98,0.58,-0.73,-0.23,-0.9,-0.24,-0.66,0.47,-1.41,-1.69,0.56,-1.2,-0.76,-0.58,0.19,-0.66
"gene419",0.97,-0.49,1.68,-1.27,0.92,0.13,0.52,-0.33,-0.63,-1.06,-0.06,0.27,1.34,0.06,1.65,-0.52,1.6,-0.16,-1.09,-1.93,-0.77,-1.17,-1.93,0.5,1.39
"gene420",0.17,0.27,-0.03,-1.69,0.45,-1.24,0.02,1.98,-0.46,0.85,-0.59,-0.92,-2.18,0.18,1.39,0.52,-0.19,-0.98,0.39,1.93,-0.02,0.2,-0.24,1.05,-1.06
"gene421",-1.6,0.34,1.15,-1.07,1.99,-0.35,2.55,2.07,1.38,-1.63,-0.33,1.56,0.95,-0.64,1.8,0.64,-0.01,-1.14,-0.58,0.08,1.12,1.01,-0.65,-0.36,0.41
"gene422",-1.9,-0.69,-0.13,0.51,-0.24,0.2,0.23,1.51,-0.74,2.6,-0.94,0.32,-1.4,0.33,-0.73,1.09,0.67,-0.87,0.59,1.73,-0.47,2.29,1.27,0.54,-0.1
"gene423",1.57,1.62,1.02,-0.28,1.89,-2,-0.41,1.91,-1.01,0.16,0.24,0.4,-1.63,1.24,2.01,0.13,0.63,-1.15,1.16,-0.41,-0.12,2.47,-1.79,-1.27,-1.01
"gene424",-1.74,-0.91,0.79,2.07,-1.23,-0.29,0.11,1.02,-0.1,-2.94,-0.71,2.28,-0.2,0.75,-2.62,0.35,1.12,-1.09,-2.91,0.69,-0.68,-0.01,1.24,-0.47,-0.85
"gene425",-0.83,1.15,1.84,0.16,0.45,0.35,0.35,-1.16,1.01,-0.3,1.75,-1.52,0.1,0.27,-0.33,0.85,-0.17,0.38,-0.59,1.15,2.04,-2.16,-1.44,0.34,0.13
"gene426",0.85,0.22,-0.57,-0.06,-0.3,-0.77,1.08,-0.86,-1.03,-1.28,-1.62,-0.66,0.71,-0.11,-0.25,0.43,0.46,-0.31,0.45,0.8,-1.57,-0.36,-0.13,-0.54,1.02
"gene427",1.77,-0.16,1.26,0.81,-0.38,1.22,0,0.17,-0.35,-0.78,-1.72,1.97,0.08,-2.17,0.6,1.48,-0.35,-1.25,-0.23,-1.38,-1.1,0.45,-0.3,1.12,0.06
"gene428",1.63,0.81,1.63,-0.53,2.74,0.36,1.89,0.54,3.08,3.15,-0.12,1.88,1.6,1.87,0.9,0.65,0.89,1.79,0.65,1.26,2.38,0.29,1.38,3.12,1.11
"gene429",0.88,0.13,-0.17,-1.31,-1.03,1.01,-0.3,0.63,1.21,-0.95,-0.1,-0.8,-0.09,-1.69,0.27,0.57,-0.13,-0.34,-0.23,0.48,2.51,1.01,-1,1.33,-1.76
"gene430",0.34,-2.36,1.74,-0.32,-1,0.59,0.36,0.82,-0.53,-0.34,0.41,1.1,-0.45,-0.19,-0.18,-0.07,1.78,-2.25,-0.14,-0.39,-1.06,1.23,0.53,-0.08,0.14
"gene431",0.57,0.65,-1.4,-1.52,-0.53,-0.67,-0.8,0.15,-0.72,-1.71,0.16,1.68,0.14,-0.96,-0.6,0.04,1.26,-0.79,-0.37,-0.94,1.11,-0.63,0.16,1.31,-0.27
"gene432",-0.37,-0.42,0.47,0.82,1.6,-0.02,-0.97,-2.61,-0.62,0.64,-2.33,0.56,-0.84,-1.3,-0.4,-0.77,-0.28,0.81,0.71,0.87,-1.73,-0.32,-0.76,0.63,0.32
"gene433",-1.27,1.22,0.13,-0.18,-0.12,1.48,-0.94,0.19,-0.98,0.9,-0.3,-0.32,1.29,2.14,0.21,0.47,0.7,0.75,-1.13,1.75,-1.99,-1.12,-0.92,1.73,-1.56
"gene434",1.2,0.6,-1.22,0.31,-0.03,-2.21,0.43,-1.27,1.69,0.7,-0.18,-0.18,-2.85,-1.17,-0.87,-0.21,-1.59,-0.03,-0.62,0.39,-0.93,0.41,-0.52,-1.22,0.87
"gene435",-1.38,-0.92,0.68,-0.83,0.16,-0.12,0.3,1.27,-0.06,-0.64,0.74,1.72,-1.28,-1.26,1.11,-1.17,-0.04,1.48,-0.08,0.66,1.26,0.3,-0.26,1.45,0.14
"gene436",0.07,0.4,1.14,0.51,1.6,0.5,-0.75,-0.99,-2.04,-0.45,2.51,1.36,-1.72,-0.56,-0.88,-0.98,-0.85,1.13,-0.23,-1.37,-1.38,-2.12,-0.4,-0.58,0.53
"gene437",-0.45,-0.39,1.2,0.73,1.47,0.34,0.28,-0.19,0.39,0.95,0.68,-0.09,-0.12,0.25,-0.25,-0.11,0.09,0.6,0.4,0.91,0.51,0.37,-0.04,-0.45,-0.78
"gene438",-0.4,0.62,-1.75,-0.69,0.92,0.71,-0.21,0.09,0.95,-0.84,-0.85,1.19,-1.13,-1.05,0.13,-0.5,0.02,0.01,-1.34,-0.94,-0.06,-0.41,-1.62,-1.11,-0.28
"gene439",0.53,-0.13,1.23,-1.89,0.24,0.77,1.29,2.55,1.15,-1.82,-0.97,1.23,1.37,-2.44,0.13,-0.21,0.64,0.25,-1.16,0.96,-0.34,0.89,-0.03,-0.24,1.8
"gene440",-0.24,0.28,0.82,1.03,-0.07,0.33,0.6,0.64,-1.58,-0.39,-0.11,-1.27,0.97,-1.07,0.89,0.9,-0.06,-0.76,0.09,-0.68,-2.39,1.17,0.24,0.26,-2.03
"gene441",0.21,-0.79,1.82,2.02,-0.81,-1.51,-0.19,1.17,-0.91,-1.97,0.9,0.04,0.57,0.25,-0.42,-1.57,-1.18,-0.56,-1.1,-1.11,-1,0.06,-0.03,-0.54,-0.33
"gene442",0.64,1.97,-0.17,0.49,0.33,-0.13,0.35,1.8,-1.04,1.01,1.48,0.24,0.58,-0.13,0.55,1.64,0.49,0.59,-0.13,-0.58,-1.07,-1.31,0.59,0.57,-1.67
"gene443",-1,0.6,-0.27,1.24,0.68,-0.43,0.42,-0.66,0.41,0.29,1.74,0.31,0.7,-0.65,0.84,-1.16,1.54,-0.45,-1.64,-1.21,-0.15,-0.92,-0.19,-0.55,-0.92
"gene444",-0.71,-1.04,1.84,-0.84,-0.2,1.61,1.41,-1.06,0.63,1.93,0.26,0.35,0.64,-0.91,-0.99,-0.58,-2.54,0.19,1.43,0.54,-0.07,-0.32,0.32,1.57,0.57
"gene445",-1.25,1.2,0.15,0.23,-1.32,0.91,-0.09,0.3,-0.04,-1.25,-0.08,0.58,-0.78,-0.23,0.29,0.61,0.08,0.74,2.04,-1.6,0.29,-0.81,-0.26,0.05,0.66
"gene446",-0.19,0.49,-1.38,-0.33,1.14,0.87,-0.87,2.26,-0.28,-0.76,-0.66,-0.48,0.22,0.84,-0.79,1.48,0.5,0.82,-0.82,-1.35,1.19,0.41,1.43,-0.09,1.28
"gene447",1.13,0.94,-1.42,-1.56,1.16,-1.17,-0.54,0.47,-0.4,-2.24,-1.53,0.15,1.31,-1.08,2.54,-1.18,-1.21,1.54,-1.19,0.88,-0.03,0.53,1.47,-1.57,-0.1
"gene448",-0.08,-2.07,-0.67,1.29,-1.04,0,-1.43,0.95,0.67,-0.12,-1.03,0.61,-0.23,0.99,1,0.81,-0.6,-0.04,-0.59,0.6,1.53,-0.33,-0.29,-0.16,-0.4
"gene449",-0.86,1.03,0.17,-1.32,0.27,1.33,1.1,1.3,1.23,-0.63,-0.05,1.19,-1.11,-0.28,0.24,0.54,-1.8,-0.03,0.12,-0.13,-0.03,0.04,-0.17,0.47,0.04
"gene450",-0.21,-0.48,-1.03,0.58,-1.43,-0.65,0.29,-0.23,-1.51,1.02,-1.3,-0.51,0.02,0.06,-0.08,-0.53,-3.34,0.21,1.09,-0.14,-0.26,0.78,-1.69,-0.45,1.84
"gene451",-1.56,3.19,0.24,-0.53,0.7,-0.58,-0.69,-1.45,0.8,-0.47,0.72,-0.25,-0.34,0.03,0.46,-2.04,-0.92,1.23,-0.92,-0.85,-0.14,-0.59,1.4,0.9,1.07
"gene452",-0.99,-0.41,-0.45,-0.72,-0.98,0.7,1.82,0.79,1.19,0.2,-0.31,-0.5,-0.17,-1.23,-0.16,0.61,-1.43,-1.47,1.38,-0.02,0.08,0.42,0.87,-1.05,-0.46
"gene453",-0.21,-0.31,0.26,0.14,1.31,0.44,0.18,0.33,-0.04,-0.64,-1.48,-0.4,1.2,-1.54,1.16,0.72,0.41,-0.73,-0.53,-0.92,0.78,0.83,-2.19,-1.94,1.33
"gene454",0.19,-0.68,2.14,1.37,0.77,0.58,0.69,1.54,-1.33,-1,-0.83,0.23,0.32,-0.65,-0.55,-0.23,-0.44,1.57,-1.48,-1.44,-0.19,-0.61,0.32,-0.1,-1.15
"gene455",-0.34,0.49,0.25,-0.31,-1.4,1.66,0.89,0.08,-0.52,1.49,0.29,0.86,1.3,-0.68,0.27,-1.31,-2.04,0.25,0.28,-2.4,0.92,1.77,-0.21,-0.44,0.19
"gene456",0.73,-1.83,-0.51,1.06,1.32,1.05,0.97,-0.81,0.16,-0.41,1,0.61,-2.88,-1.3,-0.71,-0.41,-0.77,1.12,-0.47,0,-0.27,-0.42,1.02,-1.77,1.49
"gene457",0.46,1.89,0.37,0.71,-1.06,2,-1.17,0.75,0.89,-1.12,0.1,-0.64,-0.75,1.81,0.03,1.92,0.92,-0.86,0.93,-0.16,1.76,-1.52,0.9,-0.59,-0.87
"gene458",-0.76,-0.59,-1.63,1.65,1.27,1.22,-1.16,0.89,-0.53,-1.33,0.26,-1.45,-0.35,-0.07,-0.47,-0.51,-1.02,-1.03,0.38,1.65,-0.08,1.6,-1.37,-1.88,-0.32
"gene459",1.21,-1.15,0.8,0.12,0.45,-0.34,0.83,0.93,-1.83,0.17,0.01,1.67,0.19,-2.66,0,-1.42,0.2,-0.35,0.22,1.56,0.46,-0.46,1.31,-0.51,1.3
"gene460",-0.67,-0.66,-0.64,0.42,-1.08,-0.26,0.46,0.34,-0.21,0.16,2.01,-1.05,-1.42,-0.55,-0.96,-0.86,-0.06,0.1,-1.6,0.13,-0.34,1.36,1.27,-0.76,0.49
"gene461",0.73,0.46,-0.54,0.52,0.82,-1.72,1.17,0.01,-0.18,1.41,-0.76,-0.33,-0.09,0.55,0.9,0.86,-0.8,-0.42,-1.39,-0.96,0.33,-0.25,0.34,1.69,0.14
"gene462",-0.53,1.66,-0.25,-1.17,2,0.61,-0.74,2.27,0.46,-0.67,-0.12,-0.51,-0.45,0.08,1.37,-0.83,-0.23,-0.66,0.36,-0.88,-1.51,-2.18,-1.53,2.65,-0.7
"gene463",0.02,-0.81,0.03,0.61,-0.52,0.18,-2.22,-0.73,0.3,-0.51,-1.43,0.96,-2.27,-2.5,2.75,1.25,-0.18,0.13,-0.57,0.11,-1.39,-1.78,1.11,0.42,1.36
"gene464",0.59,0.33,-0.85,-0.93,0,-1.54,0.07,2.75,-1.48,1.22,0.29,1.53,0.2,0.27,-0.95,0.1,0.78,0.2,0.43,1.13,-0.18,1.02,-0.48,-1.17,0.14
"gene465",-0.42,0.1,1.49,-0.53,0.99,-1.29,0.52,1.6,-0.46,-0.83,-0.69,1.37,-1.35,-0.56,-0.37,-0.18,-1.89,0.55,2.98,0.27,-0.92,-0.85,1.1,0.61,-0.61
"gene466",-1.11,-1.29,-0.95,0.17,2.08,-0.8,-0.26,0.6,-0.81,0.34,0.11,-0.05,-0.58,-0.2,0.51,-1.82,-0.77,0.15,0.02,-1.23,-1.68,-2.14,-1.39,-0.95,0.33
"gene467",-0.29,-0.12,-0.31,-0.86,-1.03,-1.04,-0.89,0.39,0.16,0.16,2.06,0.1,1.13,0.55,-1.32,-2.21,-0.31,-0.35,1.08,1.18,0.52,-0.33,0.98,0.08,-1.27
"gene468",-0.02,1.22,1.37,-0.09,0.45,-0.35,-0.43,-0.71,-0.41,0.33,-1.67,-0.34,1.42,-1.26,-0.66,-1.39,-0.41,0.89,1.83,0.8,0.72,0.53,-0.18,0.34,-1.38
"gene469",1.63,0.01,-0.7,0.81,1.26,-0.94,0.94,-0.01,0.44,-0.66,-1.34,-0.12,0.59,-0.77,-0.11,-2.24,-1.14,0.36,1.08,0.74,-0.62,-0.04,0.36,0.14,1.08
"gene470",1.24,-1.58,-2.09,0.39,-1.66,0.25,-1.3,0.31,1.34,-0.08,0.85,1.29,1.94,-1.2,-1.58,-0.81,0.59,0.48,0.65,-1.05,-0.06,0.36,1.98,-0.47,0.25
"gene471",0.44,1.38,-0.1,-0.82,-0.36,1.57,-0.96,1.09,0.76,-0.76,0.57,-0.72,1.04,-1.7,1.36,-0.59,-0.59,0.36,-1.52,0.03,-0.08,-1.2,0.98,-1.63,-0.56
"gene472",-1.61,1.47,-0.79,3.25,0.59,1.06,-2.03,-1.55,1.35,-0.68,-1.5,1.64,0.96,-0.72,-0.51,0.51,1.24,0.31,-0.84,-0.52,-1.06,-0.39,0.58,1.24,0.52
"gene473",-0.89,0.22,-0.51,0.73,0.31,1.03,-0.16,0.52,-0.15,-0.15,-1.27,-0.15,-0.18,1.07,1.1,-0.28,-0.07,0.81,1.64,-1.2,0.95,0.49,-0.1,2.05,-1.67
